OBJECTNUMMER;Naam;Modaliteit;Lijn;Lijn_select;RADIUS;Label;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
200;J.P. Heijestraat;Tram;7 | 17;07|17;5;7 | 17 - J.P. Heijestraat;POINT(4.862701 52.364811);POINT(52.364811 4.862701);4.862.701;52.364.811
201;Station Zuid;Tram;5 | 25 | 50 | 51 | 52;05|25|50|51|52;5;5 | 25 | 50 | 51 | 52 - Station Zuid;POINT(4.873144 52.340165);POINT(52.340165 4.873144);4.873.144;52.340.165
202;Station Lelylaan;Tram;1 | 17 | 27 | 50 | 51;01|17|27|50|51;5;1 | 17 | 27 | 50 | 51 - Station Lelylaan;POINT(4.834373 52.357894);POINT(52.357894 4.834373);4.834.373;52.357.894
203;Station Sloterdijjk;Tram;19 | 50 | 51;19|50|51;5;19 | 50 | 51 - Station Sloterdijjk;POINT(4.838885 52.388603);POINT(52.388603 4.838885);4.838.885;52.388.603
204;Jan van Galenstraat;Tram;13 | 50 | 51;13|50|51;5;13 | 50 | 51 - Jan van Galenstraat;POINT(4.835498 52.373127);POINT(52.373127 4.835498);4.835.498;52.373.127
205;Burg. De Vlugtlaan;Tram;7 | 50 | 51;07|50|51;5;7 | 50 | 51 - Burg. De Vlugtlaan;POINT(4.83788 52.378837);POINT(52.378837 4.83788);483.788;52.378.837
206;Heemstedestraat;Tram;2 | 50 | 51;02|50|51;5;2 | 50 | 51 - Heemstedestraat;POINT(4.834334 52.351505);POINT(52.351505 4.834334);4.834.334;52.351.505
207;Amstelveenseweg;Tram;24 | 50 | 51;24|50|51;5;24 | 50 | 51 - Amstelveenseweg;POINT(4.857271 52.338394);POINT(52.338394 4.857271);4.857.271;52.338.394
208;Station RAI;Tram;4 | 50 | 51;04|50|51;5;4 | 50 | 51 - Station RAI;POINT(4.890724 52.337006);POINT(52.337006 4.890724);4.890.724;52.337.006
209;Centraal Station;Tram;2 | 4 | 12 | 13 | 14 | 17 | 24 | 26 | 51 | 52 | 53 | 54;02|04|12|13|14|17|24|26|51|52|53|54;5;2 | 4 | 12 | 13 | 14 | 17 | 24 | 26 | 51 | 52 | 53 | 54 - Centraal Station;POINT(4.899773 52.378027);POINT(52.378027 4.899773);4.899.773;52.378.027
210;Waterlooplein;Tram;14 | 51 | 53 | 54;14|51|53|54;5;14 | 51 | 53 | 54 - Waterlooplein;POINT(4.902401 52.367349);POINT(52.367349 4.902401);4.902.401;52.367.349
211;Weesperplein;Tram;1 | 7 | 19 | 51 | 53 | 54;01|07|19|51|53|54;5;1 | 7 | 19 | 51 | 53 | 54 - Weesperplein;POINT(4.907978 52.361173);POINT(52.361173 4.907978);4.907.978;52.361.173
212;Amstelstation;Tram;12 | 51 | 53 | 54;12|51|53|54;5;12 | 51 | 53 | 54 - Amstelstation;POINT(4.918297 52.346663);POINT(52.346663 4.918297);4.918.297;52.346.663
213;Station Diemen-Zuid;Metro;53;53;7;53 - Station Diemen-Zuid;POINT(4.956447 52.33027);POINT(52.33027 4.956447);4.956.447;5.233.027
214;Bob Haarmslaan;Tram;26;26;5;26 - Bob Haarmslaan;POINT(4.968961 52.368939);POINT(52.368939 4.968961);4.968.961;52.368.939
215;Westermarkt;Tram;13 | 17;13|17;5;13 | 17 - Westermarkt;POINT(4.884106 52.374035);POINT(52.374035 4.884106);4.884.106;52.374.035
217;Europaplein;Metro;4 | 52;04|52;7;4 | 52 - Europaplein;POINT(4.891987 52.340218);POINT(52.340218 4.891987);4.891.987;52.340.218
218;Noorderpark;Metro;52;52;7;52 - Noorderpark;POINT(4.918652 52.388902);POINT(52.388902 4.918652);4.918.652;52.388.902
219;Noord;Metro;52;52;7;52 - Noord;POINT(4.932229 52.401877);POINT(52.401877 4.932229);4.932.229;52.401.877
220;Rokin;Metro;4 | 14 | 24 | 52;04|14|24|52;7;4 | 14 | 24 | 52 - Rokin;POINT(4.892378 52.3698);POINT(52.3698 4.892378);4.892.378;523.698
221;Vijzelgracht;Metro;1 | 7 | 19 | 24 | 52;01|07|19|24|52;7;1 | 7 | 19 | 24 | 52 - Vijzelgracht;POINT(4.890943 52.359632);POINT(52.359632 4.890943);4.890.943;52.359.632
222;De Pijp;Metro;3 | 12 | 24 | 52;03|12|24|52;7;3 | 12 | 24 | 52 - De Pijp;POINT(4.891107 52.35279);POINT(52.35279 4.891107);4.891.107;5.235.279
223;Museumplein;Tram;2 | 5 | 12;02|05|12;5;2 | 5 | 12 - Museumplein;POINT(4.8812322 52.3588611);POINT(52.3588611 4.8812322);48.812.322;523.588.611
224;Hugo de Grootplein;Tram;3;3;5;3 - Hugo de Grootplein;POINT(4.8727694 52.3746846);POINT(52.3746846 4.8727694);48.727.694;523.746.846
227;Drenthepark;Tram;4;4;5;4 - Drenthepark;POINT(4.8893095 52.3361529);POINT(52.3361529 4.8893095);48.893.095;523.361.529
228;Bloemgracht;Tram;5;5;5;5 - Bloemgracht;POINT(4.8764506 52.3743398);POINT(52.3743398 4.8764506);48.764.506;523.743.398
229;Jan van Galenstraat;Tram;7;7;5;7 - Jan van Galenstraat;POINT(4.8492708 52.3719979);POINT(52.3719979 4.8492708);48.492.708;523.719.979
231;De Rijpstraat;Tram;19;19;5;19 - De Rijpstraat;POINT(4.8578315 52.3771294);POINT(52.3771294 4.8578315);48.578.315;523.771.294
232;VUmc;Tram;24;24;5;24 - VUmc;POINT(4.8598291 52.3351784);POINT(52.3351784 4.8598291);48.598.291;523.351.784
233;Muntplein;Tram;24;24;5;24 - Muntplein;POINT(4.8931841 52.366371);POINT(52.366371 4.8931841);48.931.841;52.366.371
234;Kronenburg;Tram;5 | 25;05|25;5;5 | 25 - Kronenburg;POINT(4.8703396 52.3164517);POINT(52.3164517 4.8703396);48.703.396;523.164.517
235;Oranjebaan;Tram;5 | 25;05|25;5;5 | 25 - Oranjebaan;POINT(4.8717813 52.3029039);POINT(52.3029039 4.8717813);48.717.813;523.029.039
236;Eerste Marnixdwarsstraat;Tram;5;5;5;5 - Eerste Marnixdwarsstraat;POINT(4.8820335 52.3830358);POINT(52.3830358 4.8820335);48.820.335;523.830.358
237;Plantage Lepellaan;Tram;14;14;5;14 - Plantage Lepellaan;POINT(4.9154802 52.3651306);POINT(52.3651306 4.9154802);49.154.802;523.651.306
238;Ouderkerkslaan;Tram;25;25;5;25 - Ouderkerkslaan;POINT(4.8677556 52.2965852);POINT(52.2965852 4.8677556);48.677.556;522.965.852
239;Sportlaan;Tram;25;25;5;25 - Sportlaan;POINT(4.8636541 52.2901479);POINT(52.2901479 4.8636541);48.636.541;522.901.479
240;Meent;Tram;25;25;5;25 - Meent;POINT(4.8571498 52.2810117);POINT(52.2810117 4.8571498);48.571.498;522.810.117
241;Brink;Tram;25;25;5;25 - Brink;POINT(4.8518489 52.2805421);POINT(52.2805421 4.8518489);48.518.489;522.805.421
242;Poortwachter;Tram;25;25;5;25 - Poortwachter;POINT(4.8454439 52.2832311);POINT(52.2832311 4.8454439);48.454.439;522.832.311
243;Sacharovlaan;Tram;25;25;5;25 - Sacharovlaan;POINT(4.8324823 52.2822746);POINT(52.2822746 4.8324823);48.324.823;522.822.746
244;Westwijk;Tram;25;25;5;25 - Westwijk;POINT(4.8307936 52.2745937);POINT(52.2745937 4.8307936);48.307.936;522.745.937
